ts,ticker,action,score,last
2026-03-06T16:38:57,TSLA,KØB / KIG NÆRMERE,3.78,399.2000122070313
2026-03-06T16:39:02,TSLA,KØB / KIG NÆRMERE,3.78,399.2000122070313
2026-03-06T16:39:04,TSLA,KØB / KIG NÆRMERE,3.8,399.4082946777344
2026-03-06T16:47:29,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:47:54,TSLA,KØB / KIG NÆRMERE,3.9,400.9100036621094
2026-03-06T16:48:53,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:49:15,TSLA,KØB / KIG NÆRMERE,3.92,401.2044067382813
2026-03-06T16:49:31,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:49:32,TSLA,KØB / KIG NÆRMERE,3.92,401.2044067382813
2026-03-06T16:49:40,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T17:15:52,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-06T20:06:16,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-06T20:08:08,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-06T20:19:31,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-06T20:19:38,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-06T20:19:43,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T06:46:28,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T07:18:06,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T07:18:11,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T07:18:17,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T07:19:47,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T07:19:55,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T07:20:52,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T07:36:50,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T07:36:56,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T07:37:03,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T08:57:04,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T08:57:23,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T08:57:31,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T08:58:13,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-07T10:08:59,AACB,KØB / KIG NÆRMERE,4.9,10.34
2026-03-08T08:30:48,AACB,KØB / KIG NÆRMERE,4.9,10.34
